True,name,0,1,2,3,4
0,loss_null,1.006,1.0898,1.0356,1.0774,0.9915
1,loss_alternative,0.6121,0.4914,0.5361,0.6393,0.5702
2,loss_pvalue,2.25E-06,9.60E-13,1.55E-05,4.61E-05,1.77E-07
3,is_loss_sig,Yes,Yes,Yes,Yes,Yes
4,corr_null,0.0046,0.0474,-0.0033,0.0181,0.0838
5,corr_alternative,0.6995,0.714,0.697,0.666,0.6854
6,corr_pvlue,4.03E-36,5.49E-32,1.69E-36,2.35E-31,2.39E-30
7,is_corr_sig,Yes,Yes,Yes,Yes,Yes
8,r2_null,-0.2933,-0.2741,-0.2381,-0.2713,-0.2723
9,r2_alternative,0.1241,0.2979,0.3644,0.0405,0.2418
10,r2_pvalue,2.19E-02,8.04E-07,1.02E-11,8.00E-03,3.90E-05
11,is_r2_sig,Yes,Yes,Yes,Yes,Yes
