True,name,0,1,2,3,4
0,loss_null,1.2016,1.1364,1.1028,1.0315,1.0918
1,loss_alternative,0.3937,0.5631,0.3778,0.687,1.0049
2,loss_pvalue,2.01E-24,3.25E-11,1.42E-22,6.23E-02,3.87E-01
3,is_loss_sig,Yes,Yes,Yes,No,No
4,corr_null,0.0058,0.0393,0.0439,0.0096,0.0264
5,corr_alternative,0.7974,0.6513,0.7503,0.6492,0.6442
6,corr_pvlue,1.42E-54,4.41E-26,3.69E-36,9.60E-29,1.43E-29
7,is_corr_sig,Yes,Yes,Yes,Yes,Yes
8,r2_null,-0.3835,-0.3652,-0.3841,-0.3448,-0.3264
9,r2_alternative,0.4676,0.2768,0.4791,-0.4431,-0.9869
10,r2_pvalue,1.81E-09,2.93E-10,1.00E-13,5.52E-01,7.16E-01
11,is_r2_sig,Yes,Yes,Yes,No,No
