True,name,0,1,2,3,4
0,loss_null,1.0031,0.7882,0.802,1.0082,1.3201
1,loss_alternative,0.4532,1.0829,0.6236,0.6144,1.0315
2,loss_pvalue,2.06E-52,1.00E+00,2.63E-23,3.18E-42,6.00E-38
3,is_loss_sig,Yes,No,Yes,Yes,Yes
4,corr_null,-0.0415,0.008,0.0283,0.0361,0.006
5,corr_alternative,0.705,-0.1771,0.3457,0.5773,0.4163
6,corr_pvlue,4.60E-56,1.00E+00,4.72E-27,9.12E-36,5.13E-34
7,is_corr_sig,Yes,No,Yes,Yes,Yes
8,r2_null,-0.2515,-0.1972,-0.1422,-0.107,-0.0734
9,r2_alternative,0.4346,-0.6448,0.1118,0.3254,0.1612
10,r2_pvalue,2.06E-52,1.00E+00,2.63E-23,3.18E-42,6.00E-38
11,is_r2_sig,Yes,No,Yes,Yes,Yes
